Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
PP9015,Saturday,2015-02-14,11:00:00,12:15:00,North Shore Female Peewee A1,Tri Cities Female Peewee A1,Ice Sports North Shore 1 Red,Peewee,Flight 1,Playoffs Rep,North Shore Female
MP9708,Saturday,2015-02-14,11:30:00,12:45:00,Vancouver Girls Midget C1,Vancouver Girls Midget C2,Killarney Community Centre,Midget,Blue Group,Playoffs C Leagues,Vancouver Girls
PP9012,Saturday,2015-02-14,14:15:00,15:30:00,Abbotsford Female Peewee A1,Surrey Female Peewee A1,Abbotsford Centre Ice 1 Blue,Peewee,Flight 1,Playoffs Rep,Abbotsford Female
BP9508,Saturday,2015-02-14,15:30:00,16:45:00,Surrey Female Bantam C2,Burnaby Female Bantam C1,North Surrey Arena 2,Bantam,Red Group,Playoffs C Leagues,Surrey Female
BP9713,Saturday,2015-02-14,16:45:00,18:15:00,Langley Girls Bantam C1,Richmond Girls Bantam C2,George Preston Recreation Centre,Bantam,Blue Group,Playoffs C Leagues,Langley Girls
MP9511,Saturday,2015-02-14,17:30:00,18:45:00,Tri Cities Female Midget C2,Western Washington Female Midget C1,Coquitlam Recreation,Midget,Red Group,Playoffs C Leagues,Tri Cities Female
BP9009,Saturday,2015-02-14,17:45:00,19:00:00,Richmond Girls Bantam A1,Surrey Female Bantam A1,Richmond Ice Centre Igloo,Bantam,Flight 1,Playoffs Rep,Richmond Girls
MP9312,Saturday,2015-02-14,18:45:00,20:00:00,North Shore Winter Club Female Midget C1,North Shore Female Midget C1,North Shore Winter Club,Midget,Black Group,Playoffs C Leagues,North Shore Winter Club
MP9517,Sunday,2015-02-15,09:45:00,11:15:00,Western Washington Female Midget C1,Surrey Female Midget C1,Bellingham Sportsplex,Midget,Red Group,Playoffs C Leagues,Western Washington Female
BP9714,Sunday,2015-02-15,12:45:00,14:00:00,Vancouver Girls Bantam C1,North Shore Female Bantam C1,Richmond Olympic Oval North,Bantam,Blue Group,Playoffs C Leagues,Vancouver Girls
