Game #,Day,Date,Start,End,Home Team,Away Team,Arena
ML9011,Saturday,11/29/2014,20:45,22:00,Tri-Cities Female Midget A1,Richmond Girls Midget A1,Coquitlam Main
ML9519,Saturday,11/29/2014,21:30,22:45,Vancouver Girls Midget C2,Surrey Female Midget C1,Sunset Arena
NL9309,Sunday,11/30/2014,8:45,10:00,North Shore Female Novice C1,Langley Girls Novice C2,Ice Sports North Shore 2 Blue
AL9310,Sunday,11/30/2014,9:00,10:15,Surrey Female Atom C2,Tri-Cities Female Atom C2,Newton Arena
NL9004,Sunday,11/30/2014,9:15,10:15,Richmond Girls Novice C1,Surrey Female Novice C1,Richmond Ice Centre Igloo
ML9521,Sunday,11/30/2014,9:45,11:15,Western Washington Female Midget C1,Langley Girls Midget C2,Bellingham Sportsplex
NL9310,Sunday,11/30/2014,9:45,10:45,Abbotsford Female Novice C1,North Shore Winter Club Female Novice C1,MSA Arena - Abbotsford
AL9510,Sunday,11/30/2014,11:00,12:15,Abbotsford Female Atom C1,South Delta Female Atom C1,MSA Arena - Abbotsford
AL9311,Sunday,11/30/2014,11:15,12:30,North Shore Winter Club Female Atom C1,Meadow Ridge Female Atom C1,North Shore Winter Club
ML9303,Sunday,11/30/2014,11:15,12:30,Vancouver Girls Midget C1,Tri-Cities Female Midget C1,Richmond Olympic Oval North
BL9520,Sunday,11/30/2014,12:45,14:00,Vancouver Girls Bantam C1,Tri-Cities Female Bantam C2,Richmond Olympic Oval North
PL9521,Sunday,11/30/2014,12:45,14:00,North Shore Female Peewee C2,Tri-Cities Female Peewee C2,Ice Sports North Shore 3 Green
AL9511,Sunday,11/30/2014,13:00,14:15,Tri-Cities Female Atom C3,Meadow Ridge Female Atom C2,Planet Ice Coquitlam 1 Mars
PL9057,Sunday,11/30/2014,13:00,14:15,North Shore Female Peewee A1,Tri-Cities Female Peewee A1,Ice Sports North Shore 2 Blue
NL9311,Sunday,11/30/2014,14:30,15:30,Tri-Cities Female Novice C1,North Shore Female Novice C2,Planet Ice Coquitlam 1 Mars
NL9005,Sunday,11/30/2014,16:00,17:15,Vancouver Girls Novice C1,Langley Girls Novice C1,Hillcrest Centre Arena
PL9018,Sunday,11/30/2014,16:00,17:30,Richmond Girls Peewee A2,Abbotsford Female Peewee A1,Richmond Ice Centre Forum
BL9314,Sunday,11/30/2014,16:15,17:30,Surrey Female Bantam C1,North Shore Female Bantam C1,Surrey Sport & Leisure Centre Arena 2 Purple
ML9323,Sunday,11/30/2014,16:15,17:45,Langley Girls Midget C1,North Shore Female Midget C1,Langley Twin Rinks 1
